epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,168.077,0.91877,0.76284,1.14455,0.83801,0.74306,0.78799,0.48103,1.19709,0.5679,1.14754,0.000471709,0.000471709,0.000471709
2,338.487,0.89405,0.73102,1.09287,0.8578,0.74569,0.7936,0.4851,1.19593,0.5943,1.15388,0.000901114,0.000901114,0.000901114
3,509.29,0.85035,0.67924,1.07276,0.85266,0.71629,0.78415,0.48751,1.18289,0.61706,1.14577,0.00128336,0.00128336,0.00128336
4,680.226,0.83827,0.64683,1.04302,0.82858,0.74986,0.79962,0.48345,1.20318,0.58192,1.15883,0.00121679,0.00121679,0.00121679
5,850.989,0.84109,0.65605,1.06027,0.8162,0.74855,0.79726,0.48251,1.19715,0.58453,1.16105,0.00114606,0.00114606,0.00114606
6,1021.66,0.8439,0.65132,1.06816,0.86623,0.72329,0.79691,0.48438,1.19448,0.57188,1.15053,0.00107532,0.00107532,0.00107532
7,1201.26,0.82456,0.61611,1.04614,0.77976,0.73182,0.77166,0.48144,1.19112,0.57363,1.15337,0.00100459,0.00100459,0.00100459
8,1381.44,0.83289,0.63122,1.04264,0.80048,0.7635,0.79322,0.48709,1.1869,0.55147,1.15008,0.000933851,0.000933851,0.000933851
9,1562.05,0.82725,0.60894,1.03444,0.83754,0.76884,0.80503,0.49084,1.18834,0.54366,1.14957,0.000863116,0.000863116,0.000863116
10,1742.61,0.78904,0.59297,1.03751,0.84821,0.74301,0.79742,0.4916,1.17853,0.53975,1.14205,0.00079238,0.00079238,0.00079238
11,1923.17,0.7592,0.59262,1.05973,0.84975,0.75321,0.80279,0.49401,1.18046,0.56073,1.15373,0.000721645,0.000721645,0.000721645
12,2103.11,0.77579,0.61082,1.06821,0.8617,0.73444,0.79084,0.48962,1.18844,0.56833,1.15104,0.000650909,0.000650909,0.000650909
13,2282.7,0.78621,0.63684,1.0691,0.83511,0.72647,0.77898,0.49039,1.18096,0.56017,1.15296,0.000580174,0.000580174,0.000580174
14,2454.51,0.75411,0.59565,1.06029,0.79492,0.7359,0.76998,0.47799,1.17652,0.5708,1.14534,0.000509438,0.000509438,0.000509438
15,2625.46,0.75729,0.59348,1.06749,0.87763,0.72526,0.79311,0.49257,1.17727,0.54343,1.15256,0.000438703,0.000438703,0.000438703
16,2799.53,0.7499,0.58669,1.06409,0.854,0.74415,0.79909,0.49398,1.18189,0.54213,1.15209,0.000367967,0.000367967,0.000367967
17,2979.01,0.74047,0.55948,1.04091,0.81879,0.74401,0.79279,0.4989,1.16485,0.53805,1.14855,0.000297232,0.000297232,0.000297232
18,3158.97,0.72859,0.56828,1.04877,0.84216,0.74904,0.8022,0.50283,1.15626,0.53249,1.14287,0.000226497,0.000226497,0.000226497
19,3338.91,0.68618,0.52082,1.02363,0.86872,0.74433,0.80543,0.50401,1.16624,0.52366,1.14715,0.000155761,0.000155761,0.000155761
20,3518.89,0.70793,0.5409,1.04065,0.87043,0.74095,0.8072,0.50665,1.15654,0.51934,1.14341,8.50255e-05,8.50255e-05,8.50255e-05
