epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,3233.74,1.86785,1.73566,0.00082,0.45235,0.38791,0.36806,0.18248,1.79091,1.75159,0.00118,9.74324e-05,9.74324e-05,9.74324e-05
43,3308.95,1.86613,1.73965,0.00083,0.45498,0.38656,0.36814,0.18406,1.77497,1.75165,0.00118,9.58088e-05,9.58088e-05,9.58088e-05
44,3384.35,1.86502,1.73677,0.00082,0.44775,0.38795,0.36824,0.18369,1.77898,1.75009,0.00118,9.41852e-05,9.41852e-05,9.41852e-05
45,3459.57,1.86362,1.73265,0.00082,0.45557,0.38657,0.37097,0.18527,1.78001,1.74851,0.00118,9.25616e-05,9.25616e-05,9.25616e-05
46,3535.09,1.86099,1.7287,0.00082,0.45466,0.38962,0.36896,0.18536,1.7748,1.74863,0.00118,9.0938e-05,9.0938e-05,9.0938e-05
47,3610.79,1.856,1.72708,0.00082,0.45093,0.39009,0.37094,0.18517,1.77635,1.74669,0.00118,8.93144e-05,8.93144e-05,8.93144e-05
48,3686.11,1.85994,1.7292,0.00082,0.4562,0.39121,0.37267,0.18692,1.771,1.7409,0.00118,8.76908e-05,8.76908e-05,8.76908e-05
49,3761.2,1.85743,1.73033,0.00082,0.45765,0.38419,0.369,0.18489,1.7746,1.7521,0.00117,8.60672e-05,8.60672e-05,8.60672e-05
50,3836.47,1.85369,1.72386,0.00082,0.46213,0.3908,0.37387,0.18781,1.77089,1.74188,0.00117,8.44436e-05,8.44436e-05,8.44436e-05
51,3911.98,1.85619,1.72893,0.00082,0.46264,0.38641,0.37246,0.18791,1.76854,1.74375,0.00117,8.282e-05,8.282e-05,8.282e-05
52,3987.41,1.85221,1.72693,0.00082,0.46214,0.38946,0.37254,0.18803,1.76478,1.74275,0.00117,8.11964e-05,8.11964e-05,8.11964e-05
53,4063,1.85492,1.73108,0.00082,0.46291,0.38827,0.37292,0.18693,1.77554,1.74207,0.00117,7.95728e-05,7.95728e-05,7.95728e-05
54,4138.93,1.85362,1.71809,0.00082,0.45525,0.38732,0.37074,0.1848,1.78345,1.74705,0.00118,7.79492e-05,7.79492e-05,7.79492e-05
55,4213.94,1.85005,1.7135,0.00081,0.4614,0.38947,0.37475,0.18843,1.76805,1.73667,0.00117,7.63256e-05,7.63256e-05,7.63256e-05
56,4289.45,1.85422,1.72429,0.00082,0.46321,0.38907,0.37374,0.18783,1.77297,1.73913,0.00117,7.4702e-05,7.4702e-05,7.4702e-05
57,4365.16,1.85354,1.72137,0.00082,0.46168,0.39244,0.37359,0.18769,1.77425,1.74046,0.00117,7.30784e-05,7.30784e-05,7.30784e-05
58,4440.95,1.85281,1.72612,0.00082,0.46373,0.38721,0.37472,0.1879,1.78649,1.74135,0.00118,7.14548e-05,7.14548e-05,7.14548e-05
59,4516.4,1.85566,1.71937,0.00082,0.46818,0.39086,0.37467,0.18744,1.78033,1.74229,0.00117,6.98312e-05,6.98312e-05,6.98312e-05
60,4591.66,1.8481,1.72195,0.00082,0.46602,0.38902,0.37557,0.18958,1.77022,1.73848,0.00117,6.82076e-05,6.82076e-05,6.82076e-05
61,4667.04,1.83907,1.70995,0.00081,0.465,0.38863,0.3755,0.18864,1.76972,1.74136,0.00117,6.6584e-05,6.6584e-05,6.6584e-05
62,4742.54,1.8494,1.72273,0.00082,0.47032,0.38691,0.37408,0.18806,1.77176,1.74097,0.00117,6.49604e-05,6.49604e-05,6.49604e-05
63,4817.8,1.84858,1.72654,0.00082,0.46855,0.38979,0.37516,0.18877,1.76814,1.73822,0.00117,6.33368e-05,6.33368e-05,6.33368e-05
64,4893.26,1.84968,1.72059,0.00081,0.4634,0.39172,0.37591,0.18901,1.76738,1.73692,0.00117,6.17132e-05,6.17132e-05,6.17132e-05
65,4968.19,1.85144,1.72444,0.00082,0.46654,0.38677,0.37433,0.18816,1.77349,1.74024,0.00117,6.00896e-05,6.00896e-05,6.00896e-05
66,5043.93,1.84613,1.71244,0.00081,0.46395,0.39406,0.37608,0.18844,1.77435,1.73804,0.00117,5.8466e-05,5.8466e-05,5.8466e-05
67,5119.14,1.84458,1.72062,0.00081,0.47203,0.39087,0.37816,0.19038,1.76684,1.73439,0.00117,5.68424e-05,5.68424e-05,5.68424e-05
68,5194.53,1.84771,1.72222,0.00082,0.45895,0.39324,0.37539,0.18903,1.76999,1.73841,0.00117,5.52188e-05,5.52188e-05,5.52188e-05
69,5269.88,1.83889,1.71204,0.00081,0.46391,0.39072,0.37695,0.18984,1.76749,1.73531,0.00117,5.35952e-05,5.35952e-05,5.35952e-05
70,5345.4,1.83933,1.71375,0.00081,0.46531,0.39226,0.3777,0.19036,1.76654,1.73487,0.00117,5.19716e-05,5.19716e-05,5.19716e-05
71,5420.72,1.8502,1.71954,0.00081,0.47353,0.38983,0.37616,0.18955,1.76518,1.73755,0.00117,5.0348e-05,5.0348e-05,5.0348e-05
72,5496.16,1.84618,1.7163,0.00081,0.46619,0.38961,0.37813,0.19069,1.76464,1.73629,0.00117,4.87244e-05,4.87244e-05,4.87244e-05
73,5571.68,1.84226,1.7257,0.00081,0.47153,0.39068,0.37732,0.19015,1.76755,1.73906,0.00117,4.71008e-05,4.71008e-05,4.71008e-05
74,5646.98,1.84321,1.71951,0.00081,0.46826,0.3896,0.37665,0.1905,1.76366,1.73426,0.00117,4.54772e-05,4.54772e-05,4.54772e-05
75,5721.78,1.8467,1.71278,0.00081,0.46799,0.38951,0.37725,0.18993,1.76809,1.73727,0.00117,4.38536e-05,4.38536e-05,4.38536e-05
76,5796.85,1.83623,1.70712,0.00081,0.46289,0.3936,0.37912,0.19094,1.76505,1.73564,0.00117,4.223e-05,4.223e-05,4.223e-05
77,5871.56,1.83443,1.7034,0.00081,0.47654,0.38981,0.3789,0.19053,1.76877,1.7366,0.00117,4.06064e-05,4.06064e-05,4.06064e-05
78,5946.96,1.8472,1.71748,0.00081,0.47258,0.39118,0.37894,0.19084,1.76513,1.73566,0.00117,3.89828e-05,3.89828e-05,3.89828e-05
79,6022.71,1.83981,1.71627,0.00081,0.47479,0.39123,0.37807,0.19117,1.76272,1.73405,0.00117,3.73592e-05,3.73592e-05,3.73592e-05
80,6098.37,1.83606,1.70428,0.00081,0.46871,0.39268,0.3775,0.19021,1.76265,1.73679,0.00117,3.57356e-05,3.57356e-05,3.57356e-05
81,6174.37,1.84122,1.71815,0.00081,0.46691,0.3936,0.37853,0.19084,1.76227,1.73526,0.00117,3.4112e-05,3.4112e-05,3.4112e-05
82,6249.77,1.84002,1.71149,0.00081,0.47191,0.39021,0.37822,0.19096,1.76288,1.73506,0.00117,3.24884e-05,3.24884e-05,3.24884e-05
83,6325.21,1.8393,1.7081,0.00081,0.47129,0.39004,0.37815,0.19124,1.76343,1.7329,0.00117,3.08648e-05,3.08648e-05,3.08648e-05
84,6400.64,1.83953,1.7081,0.00081,0.47288,0.39109,0.37906,0.19154,1.76221,1.73215,0.00117,2.92412e-05,2.92412e-05,2.92412e-05
85,6476.09,1.82905,1.7006,0.0008,0.47083,0.39077,0.37869,0.19131,1.76141,1.73382,0.00117,2.76176e-05,2.76176e-05,2.76176e-05
86,6551.36,1.84457,1.71929,0.00081,0.47132,0.39165,0.37916,0.19201,1.76357,1.73205,0.00117,2.5994e-05,2.5994e-05,2.5994e-05
87,6626.87,1.83262,1.70002,0.00081,0.47367,0.39143,0.37966,0.19184,1.76456,1.73364,0.00117,2.43704e-05,2.43704e-05,2.43704e-05
88,6702.26,1.83724,1.70753,0.00081,0.47019,0.39226,0.37908,0.1921,1.7615,1.731,0.00117,2.27468e-05,2.27468e-05,2.27468e-05
89,6777.84,1.83774,1.70732,0.00081,0.4726,0.39042,0.37828,0.1917,1.76215,1.73162,0.00117,2.11232e-05,2.11232e-05,2.11232e-05
90,6853.18,1.83855,1.71512,0.00081,0.47082,0.39187,0.37778,0.19126,1.76276,1.73213,0.00117,1.94996e-05,1.94996e-05,1.94996e-05
91,6936.96,1.86001,1.78135,0.00091,0.45331,0.386,0.36321,0.18126,1.78437,1.75886,0.00118,1.7876e-05,1.7876e-05,1.7876e-05
92,7007.22,1.78744,1.72101,0.00088,0.45076,0.38122,0.36098,0.18,1.79261,1.76243,0.00118,1.62524e-05,1.62524e-05,1.62524e-05
93,7077.63,1.77813,1.71223,0.00088,0.45362,0.38573,0.36414,0.18176,1.79064,1.76085,0.00118,1.46288e-05,1.46288e-05,1.46288e-05
94,7148.06,1.77142,1.70655,0.00087,0.45707,0.38899,0.366,0.18259,1.78891,1.75721,0.00118,1.30052e-05,1.30052e-05,1.30052e-05
95,7218.83,1.76767,1.70361,0.00087,0.45674,0.39059,0.36782,0.18383,1.7841,1.75409,0.00118,1.13816e-05,1.13816e-05,1.13816e-05
96,7289.29,1.76248,1.69948,0.00087,0.45643,0.39071,0.36863,0.18428,1.78303,1.75247,0.00118,9.758e-06,9.758e-06,9.758e-06
97,7359.55,1.76245,1.69862,0.00087,0.45938,0.38957,0.36911,0.18445,1.78309,1.75119,0.00118,8.1344e-06,8.1344e-06,8.1344e-06
98,7429.98,1.75801,1.697,0.00087,0.46028,0.38872,0.36999,0.18503,1.78195,1.75053,0.00118,6.5108e-06,6.5108e-06,6.5108e-06
99,7500.39,1.76363,1.69487,0.00087,0.45855,0.38938,0.37023,0.18518,1.78186,1.75027,0.00118,4.8872e-06,4.8872e-06,4.8872e-06
100,7570.7,1.76521,1.69667,0.00087,0.45776,0.38919,0.37013,0.18543,1.78082,1.74949,0.00118,3.2636e-06,3.2636e-06,3.2636e-06
